www.google.com.tw,2262949,15,Y,Y
adservice.google.com.tw,2053501,31,,Y
id.google.com.tw,1230289,132,,Y
onead.onevision.com.tw,944529,227,,
mall.shopee.tw,669727,404,,Y
pic.pimg.tw,626649,435,,
clock.stdtime.gov.tw,488723,576,,
s1.pimg.tw,478464,596,,
s8.pimg.tw,469263,606,,
google.com.tw,467815,612,,
s7.pimg.tw,466779,614,,
tock.stdtime.gov.tw,465219,617,,
s2.pimg.tw,464867,618,,
ampcid.google.com.tw,463499,624,,
s9.pimg.tw,463466,625,,
s4.pimg.tw,462532,626,,
s5.pimg.tw,459071,630,,
s6.pimg.tw,456788,633,,
s3.pimg.tw,456210,635,,
movies.yahoo.com.tw,454280,637,,Y
imageproxy.pimg.tw,434373,677,,
img.appledaily.com.tw,415032,716,,Y
pgw.udn.com.tw,395639,751,,
s.pimg.tw,390712,763,,
news.tvbs.com.tw,385237,825,,Y
autos.yahoo.com.tw,377226,839,,Y
travel.yahoo.com.tw,365700,872,,Y
house.yahoo.com.tw,356141,905,,Y
style.yahoo.com.tw,350376,929,,Y
games.yahoo.com.tw,349583,932,,Y
img.ltn.com.tw,332941,993,,
buy.yahoo.com.tw,323216,1025,,
api.shopee.tw,319064,1037,,
i2.bahamut.com.tw,305641,1078,,
www.everydayhealth.com.tw,301139,1093,Y,Y
kdcl.pchome.com.tw,297562,1102,,Y
rtnvideo1.appledaily.com.tw,290419,1124,,
shopee.tw,283174,1144,Y,Y
p.udn.com.tw,281858,1153,,
dcs.eimi.com.tw,276434,1181,,
a.breaktime.com.tw,272591,1200,,
p2.bahamut.com.tw,271378,1207,,
news.ebc.net.tw,271310,1208,Y,Y
news.ltn.com.tw,269740,1211,,
avatar2.bahamut.com.tw,266110,1229,,
www.cwb.gov.tw,264108,1244,Y,Y
s.udn.com.tw,263373,1245,,
kdpic.pchome.com.tw,260258,1258,,
www.likr.com.tw,253698,1307,,
truth.bahamut.com.tw,252043,1324,,
stg-catalyst.breaktime.com.tw,244718,1364,,
img.udn.com.tw,240477,1393,,
alchemy.breaktime.com.tw,239413,1401,,
m.ltn.com.tw,236888,1425,Y,
brain.adbot.tw,236073,1435,,
learning.adbot.tw,232388,1455,,
j.udn.com.tw,232247,1456,,
gene.breaktime.com.tw,231402,1466,,
cache.ltn.com.tw,226964,1495,,
f.shopee.tw,222117,1524,,
www.momoshop.com.tw,220948,1530,Y,Y
cc.tvbs.com.tw,218584,1543,,
maps.google.com.tw,218367,1545,,
help.pixnet.tw,218227,1547,,
pv.ltn.com.tw,216748,1559,,
load-balancer.likr.com.tw,213313,1582,,
forum.gamer.com.tw,207569,1624,Y,Y
www.dcard.tw,206984,1630,Y,
uc.udn.com.tw,205349,1643,,
yahoo.buy123.com.tw,194527,1748,,
cdn.tagtoo.com.tw,192222,1793,,
www.104.com.tw,190136,1808,Y,Y
newtalk.tw,189519,1812,Y,
bilanx.dcard.tw,180849,1880,,
www.ruten.com.tw,179007,1904,Y,Y
img1.momoshop.com.tw,178663,1909,,
pt.amnetgroup.com.tw,175848,1940,,
momowa.momoshop.com.tw,173177,1969,,
adc.tamedia.com.tw,170265,1995,,
yahoo.everydayhealth.com.tw,169838,2000,,
m.momoshop.com.tw,168834,2011,Y,Y
grca.nat.gov.tw,164489,2056,,
img2.momoshop.com.tw,163900,2060,,
auto.ltn.com.tw,163625,2065,,
img3.momoshop.com.tw,160672,2102,,
img4.momoshop.com.tw,160566,2106,,
a.ecimg.tw,158566,2164,,
gameportal.garena.tw,157945,2182,,
agent.tamedia.com.tw,155143,2209,,
ent.ltn.com.tw,154688,2212,,
accounts.google.com.tw,153618,2229,,Y
rootocsp.twca.com.tw,153441,2233,,
24h.pchome.com.tw,152775,2250,Y,Y
www.books.com.tw,149982,2278,Y,
ecapi.pchome.com.tw,149269,2289,,
image.momoshop.com.tw,149052,2291,,
yahoo.click108.com.tw,148794,2294,,Y
mybid.ruten.com.tw,147564,2310,Y,Y
img.ruten.com.tw,146848,2324,,
gca.nat.gov.tw,145171,2353,,
evsslocsp.twca.com.tw,144583,2364,,
gs.live.kgtw.garena.tw,143828,2382,,
member.cht.com.tw,141881,2408,,Y
sports.ltn.com.tw,141393,2414,,
speed.kg.garena.tw,141307,2416,,
image.garena.tw,141178,2418,,
dsp.tamedia.com.tw,139362,2451,,
ec.ltn.com.tw,138804,2460,,
lculanding.garena.tw,138173,2467,,
userstats.shopee.tw,137374,2478,,
c.ecimg.tw,137287,2480,,
www.cna.com.tw,136830,2482,Y,
api-login.kkbox.com.tw,135646,2509,,
d.ecimg.tw,133872,2528,,
3c.ltn.com.tw,132003,2562,,
rtapi.ruten.com.tw,131345,2574,,
tvnotice.kg.garena.tw,130931,2579,,
api-ds.kkbox.com.tw,130604,2588,,
stats.yl.idealgame.com.tw,129638,2607,,
twcasslocsp.twca.com.tw,129560,2608,,
pt.cymmetrics.com.tw,127800,2634,,
ahd.ruten.com.tw,126791,2657,,
cse.google.com.tw,126470,2664,,Y
www.adbert.com.tw,125540,2677,Y,
pvp.live.kgtw.garena.tw,124853,2693,,
ts.ruten.com.tw,124816,2695,,
food.ltn.com.tw,124744,2697,,
wrl.eagleeye.com.tw,124214,2707,,
istyle.ltn.com.tw,123524,2725,,
fnc.ebc.net.tw,122746,2735,,
a.rimg.com.tw,122580,2742,,
estate.ltn.com.tw,122038,2750,,
7thwb.lol.garena.tw,121092,2769,,
talk.ltn.com.tw,120712,2778,,
g.rimg.com.tw,120233,2789,,
health.ltn.com.tw,119946,2797,,
playing.ltn.com.tw,117277,2838,,
www.ctitv.com.tw,117174,2840,Y,
c.rimg.com.tw,117026,2842,,
b.rimg.com.tw,116869,2849,,
api-analytics.kkbox.com.tw,116770,2851,,
brain.batmobile.com.tw,116594,2856,,
d.rimg.com.tw,116481,2858,,
video.ltn.com.tw,116299,2863,,
e.rimg.com.tw,116140,2868,,
f.rimg.com.tw,115189,2886,,
m.gamer.com.tw,109004,3020,Y,Y
translate.google.com.tw,108281,3037,,Y
cell.adbot.tw,106984,3066,,
alert.ruten.com.tw,106212,3090,,
shopping.pchome.com.tw,106012,3099,Y,Y
s3.buy123.com.tw,105512,3118,,
www.gotvshopping.com.tw,104689,3190,,
iservice.ltn.com.tw,104408,3208,,
member.ruten.com.tw,104163,3221,Y,Y
giftbox.dcard.tw,103421,3261,,
new.ctv.com.tw,102516,3288,,
www.cmoney.tw,99314,3366,Y,Y
www.ltn.com.tw,98058,3396,Y,Y
time.stdtime.gov.tw,97564,3409,,
goods.ruten.com.tw,96722,3432,Y,Y
carousel.dcard.tw,96262,3442,,
api.tagtoo.com.tw,94610,3481,,Y
analytics.batmobile.com.tw,94537,3484,,
www.ctee.com.tw,93962,3502,,
e.ecimg.tw,92079,3543,,
csapp.cht.com.tw,91817,3554,,
api-metering-1.kkbox.com.tw,91640,3559,,
b.ecimg.tw,91636,3560,,
www.pcstore.com.tw,91598,3561,Y,
f.ecimg.tw,91470,3565,,
www.gamer.com.tw,91095,3576,Y,Y
im1.book.com.tw,89729,3619,,Y
api.mcddaily.com.tw,89562,3628,,
www.591.com.tw,89289,3647,Y,
www.shein.tw,87993,3682,,
img.pcstore.com.tw,87613,3690,Y,
ssllogo.twca.com.tw,87488,3697,,Y
ifoodie.tw,85856,3753,,Y
im2.book.com.tw,85517,3761,,Y
cw1.tw,84574,3793,,
elephant.likr.com.tw,83606,3822,,
jci.book.com.tw,83250,3829,,
addons.books.com.tw,82162,3856,,
guce.yahoo.com.tw,81934,3870,,
twhbl.yahoo.com.tw,80229,3931,,
imgur.dcard.tw,79827,3945,,
market.ltn.com.tw,79420,3965,,
www.pchome.com.tw,78952,3982,Y,Y
etu.cw.com.tw,78641,3992,,
api-cpl.kkbox.com.tw,76597,4080,,
draw.ltn.com.tw,75572,4122,,
m.news.ebc.net.tw,75317,4128,Y,Y
i-tm.com.tw,74905,4148,,Y
24h.m.pchome.com.tw,74364,4176,Y,Y
ecshweb.pchome.com.tw,74236,4186,,Y
hp1.591.com.tw,73421,4229,,
paystore.pcstore.com.tw,73187,4235,Y,Y
ads.raidtalk.com.tw,71754,4293,,
www.giftbox.dcard.tw,71438,4307,,
hp2.591.com.tw,70789,4329,,
find.ruten.com.tw,70228,4355,Y,Y
www.1111.com.tw,70023,4365,Y,Y
static.104.com.tw,69822,4374,,
www.rakuten.com.tw,69731,4379,Y,Y
icook.tw,69334,4396,Y,
seller.pcstore.com.tw,68530,4439,Y,Y
www.nextmag.com.tw,67555,4485,Y,Y
api.feebee.com.tw,66843,4506,,
services.adgeek.com.tw,66262,4525,,
m.ruten.com.tw,65633,4545,Y,Y
pic.i-tm.com.tw,63299,4638,,
home.gamer.com.tw,63111,4648,,Y
api.gamer.com.tw,62233,4708,,Y
m.104.com.tw,61900,4720,Y,Y
front.pixnet.net.geo.pixdns.tw,61880,4722,,
api.everydayhealth.com.tw,61846,4724,,
im.ruten.com.tw,61025,4763,,
db.books.com.tw,60755,4776,,Y
piwik.edh.tw,60158,4808,,
class.ruten.com.tw,59736,4832,Y,
upload.raidtalk.com.tw,59679,4838,,
www.vogue.com.tw,59523,4841,Y,Y
cimg.pcstore.com.tw,59297,4853,,
fsv.cmoney.tw,59269,4857,,
ssl.feebee.com.tw,59039,4867,,
poroking-discount.lol.garena.tw,58982,4873,,
showhome.raidtalk.com.tw,58761,4891,,
www.taiwanlottery.com.tw,58745,4893,Y,
RootOcsp.twca.com.tw,58322,4912,,
static.everydayhealth.com.tw,58194,4919,,
